,,,,,,estimated_new_units,estimated_new_units,new_price,new_price,new_revenue,new_revenue,revenue_change_pct,revenue_change_pct,unit_change_pct,unit_change_pct
scenario,,,,,,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase
ppId,name,brand,search_term,currentMin,baseline_units,,,,,,,,,,
ppr5008533330,Queen Street Emmett 3-pc. Midweight Comforter Set,queen street,comforter sets,438.99,149.0,191.0,128.0,351.192,482.88900000000007,67077.672,61809.79200000001,2.5503355704698043,-5.503355704697976,27.999999999999996,-13.999999999999998
ppr5008533347,Royal Court Messina 3-pc. Midweight Comforter Set,royal court,comforter sets,403.99,149.0,191.0,128.0,323.192,444.38900000000007,61729.672,56881.79200000001,2.550335570469793,-5.5033557046979755,27.999999999999996,-13.999999999999998
ppr5008533765,Alfred Dunner Plus Stockbridge Womens Crew Neck Long Sleeve Pullover Sweater,alfred dunner,women's tops,55.12,114.0,155.0,93.0,44.096000000000004,60.632000000000005,6834.880000000001,5638.776000000001,8.77192982456143,-10.263157894736821,36.00000000000001,-18.000000000000004
ppr5008534647,Liz Claiborne Jay Crossbody Bag,liz claiborne,handbags,44.8,105.0,136.0,89.0,35.839999999999996,49.28,4874.24,4385.92,3.619047619047614,-6.761904761904761,30.000000000000004,-15.000000000000002
ppr5008534791,Worthington Womens V Neck Long Sleeve Pullover Sweater,worthington,women's tops,31.99,78.0,106.0,64.0,25.592,35.189,2712.752,2252.096,8.717948717948724,-9.743589743589737,36.00000000000001,-18.000000000000004
ppr5008536274,Skechers Go Run Consistent 2.0 Advantage Womens Running Shoes,skechers,women's activewear,39.99,114.0,150.0,96.0,31.992000000000004,43.989000000000004,4798.800000000001,4222.944,5.263157894736853,-7.368421052631581,32.00000000000001,-16.000000000000004
ppr5008539664,Danny & Nicole Womens Short Sleeve Embellished Fit + Flare Dress,danny & nicole,women's dresses,80.0,78.0,105.0,65.0,64.0,88.0,6720.0,5720.0,7.6923076923076925,-8.333333333333332,34.0,-17.0
ppr5008539667,Melonie T Womens Sleeveless Evening Gown,melonie t,women's dresses,112.0,94.0,126.0,78.0,89.60000000000001,123.20000000000002,11289.6,9609.600000000002,7.234042553191493,-8.723404255319128,34.0,-17.0
ppr5008546025,Liz Claiborne Marina Top Zip Shoulder Bag,liz claiborne,handbags,45.5,105.0,136.0,89.0,36.4,50.050000000000004,4950.4,4454.450000000001,3.6190476190476115,-6.761904761904747,30.000000000000004,-15.000000000000002
ppr5008549931,Antigua Fall 2025 Womens Polo Shirt,antigua,women's activewear,59.99,128.0,169.0,108.0,47.992000000000004,65.989,8110.648000000001,7126.812000000001,5.62500000000001,-7.187499999999993,32.00000000000001,-16.000000000000004
